a,b,geo,year,flags_a,flags_b,value_n,file
78.4,65.5,LU,2014,"","",12.9,empl_gender_gap_20_64
76.7,65,LU,2015, b, b,11.7,empl_gender_gap_20_64
76.1,65.1,LU,2016,"","",11,empl_gender_gap_20_64
75.4,67.5,LU,2017,"","",7.90000000000001,empl_gender_gap_20_64
76,68,LU,2018,"","",8,empl_gender_gap_20_64
77.2,68.1,LU,2019,"","",9.10000000000001,empl_gender_gap_20_64
75.6,68.5,LU,2020,"","",7.09999999999999,empl_gender_gap_20_64
77.7,70.3,LU,2021,"","",7.40000000000001,empl_gender_gap_20_64
78,71.5,LU,2022,"","",6.5,empl_gender_gap_20_64
78.2,71.4,LU,2023,"","",6.8,empl_gender_gap_20_64
76.9,71.4,LU,2024,"","",5.5,empl_gender_gap_20_64
,,LV,2003,:,:,,empl_gender_gap_20_64
,,LV,2004,:,:,,empl_gender_gap_20_64
,,LV,2005,:,:,,empl_gender_gap_20_64
,,LV,2006,:,:,,empl_gender_gap_20_64
,,LV,2007,:,:,,empl_gender_gap_20_64
,,LV,2008,:,:,,empl_gender_gap_20_64
66.4,66.2,LV,2009,"","",0.200000000000003,empl_gender_gap_20_64
63.6,64.2,LV,2010,"","",-0.600000000000001,empl_gender_gap_20_64
67.1,65.1,LV,2011,"","",2,empl_gender_gap_20_64
69.8,66.2,LV,2012,"","",3.59999999999999,empl_gender_gap_20_64
71.7,67.5,LV,2013,"","",4.2,empl_gender_gap_20_64
72.9,68.4,LV,2014,"","",4.5,empl_gender_gap_20_64
74.6,70.5,LV,2015,"","",4.09999999999999,empl_gender_gap_20_64
74.5,71.7,LV,2016,"","",2.8,empl_gender_gap_20_64
76.9,72.6,LV,2017,"","",4.30000000000001,empl_gender_gap_20_64
79,74.7,LV,2018,"","",4.3,empl_gender_gap_20_64
79.2,75.5,LV,2019,"","",3.7,empl_gender_gap_20_64
78.8,75.1,LV,2020,"","",3.7,empl_gender_gap_20_64
77.7,72.9,LV,2021,"","",4.8,empl_gender_gap_20_64
78.6,75.5,LV,2022,"","",3.09999999999999,empl_gender_gap_20_64
79.1,76,LV,2023,"","",3.09999999999999,empl_gender_gap_20_64
79.1,75.8,LV,2024,"","",3.3,empl_gender_gap_20_64
,,MT,2003,:,:,,empl_gender_gap_20_64
,,MT,2004,:,:,,empl_gender_gap_20_64
,,MT,2005,:,:,,empl_gender_gap_20_64
,,MT,2006,:,:,,empl_gender_gap_20_64
,,MT,2007,:,:,,empl_gender_gap_20_64
,,MT,2008,:,:,,empl_gender_gap_20_64
77.5,40,MT,2009,"","",37.5,empl_gender_gap_20_64
78.2,41.6,MT,2010,"","",36.6,empl_gender_gap_20_64
79,43.8,MT,2011,"","",35.2,empl_gender_gap_20_64
79.4,48,MT,2012,"","",31.4,empl_gender_gap_20_64
80.3,51.7,MT,2013,"","",28.6,empl_gender_gap_20_64
81.1,54.3,MT,2014,"","",26.8,empl_gender_gap_20_64
82.1,55.3,MT,2015,"","",26.8,empl_gender_gap_20_64
83.5,58,MT,2016,"","",25.5,empl_gender_gap_20_64
84.7,60.6,MT,2017,"","",24.1,empl_gender_gap_20_64
85.5,63.2,MT,2018,"","",22.3,empl_gender_gap_20_64
85.9,63.9,MT,2019,"","",22,empl_gender_gap_20_64
84.9,66,MT,2020,"","",18.9,empl_gender_gap_20_64
86,68.4,MT,2021,"","",17.6,empl_gender_gap_20_64
86.2,72.9,MT,2022,"","",13.3,empl_gender_gap_20_64
87.7,73.6,MT,2023,"","",14.1,empl_gender_gap_20_64
89,75.6,MT,2024,"","",13.4,empl_gender_gap_20_64
,,NL,2003,:,:,,empl_gender_gap_20_64
,,NL,2004,:,:,,empl_gender_gap_20_64
,,NL,2005,:,:,,empl_gender_gap_20_64
,,NL,2006,:,:,,empl_gender_gap_20_64
,,NL,2007,:,:,,empl_gender_gap_20_64
,,NL,2008,:,:,,empl_gender_gap_20_64
84.2,70.9,NL,2009,"","",13.3,empl_gender_gap_20_64
83,70.9,NL,2010,"","",12.1,empl_gender_gap_20_64
82.9,71.5,NL,2011,"","",11.4,empl_gender_gap_20_64
82.8,72,NL,2012,"","",10.8,empl_gender_gap_20_64
81.6,71.7,NL,2013,"","",9.89999999999999,empl_gender_gap_20_64
81.7,70.8,NL,2014,"","",10.9,empl_gender_gap_20_64
82.5,71.9,NL,2015,"","",10.6,empl_gender_gap_20_64
83.2,72.7,NL,2016,"","",10.5,empl_gender_gap_20_64
83.8,73.9,NL,2017,"","",9.89999999999999,empl_gender_gap_20_64
84.8,75.2,NL,2018,"","",9.59999999999999,empl_gender_gap_20_64
85.4,76.5,NL,2019,"","",8.90000000000001,empl_gender_gap_20_64
85,76.6,NL,2020,"","",8.40000000000001,empl_gender_gap_20_64
85.7,77.5,NL,2021,"","",8.2,empl_gender_gap_20_64
86.9,79,NL,2022,"","",7.90000000000001,empl_gender_gap_20_64
87.4,79.6,NL,2023,"","",7.80000000000001,empl_gender_gap_20_64
87.3,79.7,NL,2024,"","",7.59999999999999,empl_gender_gap_20_64
,,PL,2003,:,:,,empl_gender_gap_20_64
,,PL,2004,:,:,,empl_gender_gap_20_64
,,PL,2005,:,:,,empl_gender_gap_20_64
,,PL,2006,:,:,,empl_gender_gap_20_64
,,PL,2007,:,:,,empl_gender_gap_20_64
,,PL,2008,:,:,,empl_gender_gap_20_64
69.9,55.6,PL,2009,"","",14.3,empl_gender_gap_20_64
68.8,55.6,PL,2010, b, b,13.2,empl_gender_gap_20_64
69.3,55.8,PL,2011,"","",13.5,empl_gender_gap_20_64
69.7,56.2,PL,2012,"","",13.5,empl_gender_gap_20_64
70,56.3,PL,2013,"","",13.7,empl_gender_gap_20_64
71.8,58.2,PL,2014,"","",13.6,empl_gender_gap_20_64
72.9,59.9,PL,2015,"","",13,empl_gender_gap_20_64
74.9,61.5,PL,2016,"","",13.4,empl_gender_gap_20_64
77,63,PL,2017,"","",14,empl_gender_gap_20_64
78.3,64.5,PL,2018,"","",13.8,empl_gender_gap_20_64
79.9,65.3,PL,2019, b, b,14.6,empl_gender_gap_20_64
80.2,65.4,PL,2020,"","",14.8,empl_gender_gap_20_64
82.4,68.5,PL,2021,"","",13.9,empl_gender_gap_20_64
83.2,70.3,PL,2022,"","",12.9,empl_gender_gap_20_64
83.8,72,PL,2023,"","",11.8,empl_gender_gap_20_64
84.1,72.5,PL,2024,"","",11.6,empl_gender_gap_20_64
,,PT,2003,:,:,,empl_gender_gap_20_64
,,PT,2004,:,:,,empl_gender_gap_20_64
,,PT,2005,:,:,,empl_gender_gap_20_64
,,PT,2006,:,:,,empl_gender_gap_20_64
,,PT,2007,:,:,,empl_gender_gap_20_64
,,PT,2008,:,:,,empl_gender_gap_20_64
73.1,62.3,PT,2009,"","",10.8,empl_gender_gap_20_64
72,62.1,PT,2010,"","",9.9,empl_gender_gap_20_64
71.2,62.3,PT,2011,"","",8.90000000000001,empl_gender_gap_20_64
67.5,60.8,PT,2012,"","",6.7,empl_gender_gap_20_64
66.5,60.4,PT,2013,"","",6.1,empl_gender_gap_20_64
69.4,62.9,PT,2014,"","",6.50000000000001,empl_gender_gap_20_64
71.2,64.8,PT,2015,"","",6.40000000000001,empl_gender_gap_20_64
72.7,66.5,PT,2016,"","",6.2,empl_gender_gap_20_64
76.1,69,PT,2017,"","",7.09999999999999,empl_gender_gap_20_64
78,71.5,PT,2018,"","",6.5,empl_gender_gap_20_64
78.9,72.1,PT,2019,"","",6.80000000000001,empl_gender_gap_20_64
76.8,71.2,PT,2020,"","",5.59999999999999,empl_gender_gap_20_64
78.4,72.7,PT,2021,"","",5.7,empl_gender_gap_20_64
80.1,74.3,PT,2022,"","",5.8,empl_gender_gap_20_64
80.9,75.4,PT,2023,"","",5.5,empl_gender_gap_20_64
81.4,75.7,PT,2024,"","",5.7,empl_gender_gap_20_64
,,RO,2003,:,:,,empl_gender_gap_20_64
,,RO,2004,:,:,,empl_gender_gap_20_64
,,RO,2005,:,:,,empl_gender_gap_20_64
,,RO,2006,:,:,,empl_gender_gap_20_64
,,RO,2007,:,:,,empl_gender_gap_20_64
,,RO,2008,:,:,,empl_gender_gap_20_64
62.7,45.2,RO,2009,"","",17.5,empl_gender_gap_20_64
65.1,47.6,RO,2010,"","",17.5,empl_gender_gap_20_64
64.4,47.7,RO,2011,"","",16.7,empl_gender_gap_20_64
65.4,48.2,RO,2012,"","",17.2,empl_gender_gap_20_64
65.4,48.2,RO,2013,"","",17.2,empl_gender_gap_20_64
66.7,49.2,RO,2014,"","",17.5,empl_gender_gap_20_64
68,50.3,RO,2015,"","",17.7,empl_gender_gap_20_64
69.1,51.4,RO,2016,"","",17.7,empl_gender_gap_20_64
71.3,54,RO,2017,"","",17.3,empl_gender_gap_20_64
73,54.5,RO,2018,"","",18.5,empl_gender_gap_20_64
74.6,55.4,RO,2019,"","",19.2,empl_gender_gap_20_64
74.7,55.4,RO,2020,"","",19.3,empl_gender_gap_20_64
77,56.9,RO,2021,"","",20.1,empl_gender_gap_20_64
77.7,59.1,RO,2022,"","",18.6,empl_gender_gap_20_64
78.2,59.1,RO,2023,"","",19.1,empl_gender_gap_20_64
78.4,60.3,RO,2024,"","",18.1,empl_gender_gap_20_64
,,SE,2003,:,:,,empl_gender_gap_20_64
,,SE,2004,:,:,,empl_gender_gap_20_64
80.6,74.8,SE,2005,"","",5.8,empl_gender_gap_20_64
81.5,75.2,SE,2006,"","",6.3,empl_gender_gap_20_64
82.9,76.5,SE,2007,"","",6.40000000000001,empl_gender_gap_20_64
83.3,76.7,SE,2008,"","",6.59999999999999,empl_gender_gap_20_64
80.7,75.1,SE,2009,"","",5.60000000000001,empl_gender_gap_20_64
80.9,74.4,SE,2010,"","",6.5,empl_gender_gap_20_64
82,76,SE,2011,"","",6,empl_gender_gap_20_64
81.7,76.4,SE,2012,"","",5.3,empl_gender_gap_20_64
82,76.7,SE,2013,"","",5.3,empl_gender_gap_20_64
82,77.2,SE,2014,"","",4.8,empl_gender_gap_20_64
82.3,77.9,SE,2015,"","",4.39999999999999,empl_gender_gap_20_64
82.8,78.7,SE,2016,"","",4.09999999999999,empl_gender_gap_20_64
83.6,79.2,SE,2017,"","",4.39999999999999,empl_gender_gap_20_64
84.2,79.7,SE,2018,"","",4.5,empl_gender_gap_20_64
84.3,79.1,SE,2019,"","",5.2,empl_gender_gap_20_64
82.8,77.5,SE,2020,"","",5.3,empl_gender_gap_20_64
83.1,77.7,SE,2021,"","",5.39999999999999,empl_gender_gap_20_64
84.8,79.1,SE,2022,"","",5.7,empl_gender_gap_20_64
84.9,80.2,SE,2023,"","",4.7,empl_gender_gap_20_64
83.9,79.9,SE,2024,"","",4,empl_gender_gap_20_64
,,SI,2003,:,:,,empl_gender_gap_20_64
,,SI,2004,:,:,,empl_gender_gap_20_64
,,SI,2005,:,:,,empl_gender_gap_20_64
,,SI,2006,:,:,,empl_gender_gap_20_64
,,SI,2007,:,:,,empl_gender_gap_20_64
,,SI,2008,:,:,,empl_gender_gap_20_64
75,67.6,SI,2009,"","",7.40000000000001,empl_gender_gap_20_64
73.1,66,SI,2010,"","",7.09999999999999,empl_gender_gap_20_64
71.1,64.4,SI,2011,"","",6.69999999999999,empl_gender_gap_20_64
71.1,64.2,SI,2012,"","",6.89999999999999,empl_gender_gap_20_64
70.6,62.6,SI,2013,"","",7.99999999999999,empl_gender_gap_20_64
71,63.2,SI,2014,"","",7.8,empl_gender_gap_20_64
72.7,64.2,SI,2015,"","",8.5,empl_gender_gap_20_64
72.7,66.2,SI,2016,"","",6.5,empl_gender_gap_20_64
76.2,69.3,SI,2017,"","",6.90000000000001,empl_gender_gap_20_64
78.3,71.2,SI,2018,"","",7.09999999999999,empl_gender_gap_20_64
79,72.5,SI,2019,"","",6.5,empl_gender_gap_20_64
77.6,71.7,SI,2020,"","",5.89999999999999,empl_gender_gap_20_64
79.3,72.6,SI,2021,"","",6.7,empl_gender_gap_20_64
81.2,74.3,SI,2022,"","",6.90000000000001,empl_gender_gap_20_64
80.4,74.3,SI,2023,"","",6.10000000000001,empl_gender_gap_20_64
81.1,75.1,SI,2024,"","",6,empl_gender_gap_20_64
,,SK,2003,:,:,,empl_gender_gap_20_64
,,SK,2004,:,:,,empl_gender_gap_20_64
,,SK,2005,:,:,,empl_gender_gap_20_64
,,SK,2006,:,:,,empl_gender_gap_20_64
,,SK,2007,:,:,,empl_gender_gap_20_64
,,SK,2008,:,:,,empl_gender_gap_20_64
74.2,62.4,SK,2009,"","",11.8,empl_gender_gap_20_64
71.5,61.6,SK,2010,"","",9.9,empl_gender_gap_20_64
72.1,61.6,SK,2011, b, b,10.5,empl_gender_gap_20_64
72.4,61.5,SK,2012,"","",10.9,empl_gender_gap_20_64
71.8,62,SK,2013,"","",9.8,empl_gender_gap_20_64
72.7,62.9,SK,2014,"","",9.8,empl_gender_gap_20_64
74.5,64.6,SK,2015,"","",9.90000000000001,empl_gender_gap_20_64
76.4,67.2,SK,2016,"","",9.2,empl_gender_gap_20_64
77,69.4,SK,2017,"","",7.59999999999999,empl_gender_gap_20_64
78.8,70.3,SK,2018,"","",8.5,empl_gender_gap_20_64
79.4,71.7,SK,2019,"","",7.7,empl_gender_gap_20_64
78.2,70.9,SK,2020,"","",7.3,empl_gender_gap_20_64
78.9,70.4,SK,2021,"","",8.5,empl_gender_gap_20_64
80.7,72.6,SK,2022,"","",8.10000000000001,empl_gender_gap_20_64
81.3,73.6,SK,2023,"","",7.7,empl_gender_gap_20_64
82.5,73.6,SK,2024,"","",8.90000000000001,empl_gender_gap_20_64
